dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.025180,9.818975,14.522418,1.559609,-6.195096,0.032380,1.561137
0.020000,9.025435,9.847688,14.551132,1.435696,-6.195643,-0.027354,1.562689
0.020000,9.025629,9.873914,14.577359,1.311378,-6.215903,-1.012988,1.564099
0.020000,9.025773,9.897659,14.601104,1.187242,-6.206782,0.456039,1.565371
0.020000,9.025876,9.918918,14.622364,1.062975,-6.213336,-0.327704,1.566506
0.020000,9.025948,9.937690,14.641135,0.938596,-6.218981,-0.282260,1.567504
0.020000,9.025994,9.953973,14.657419,0.814161,-6.221719,-0.136888,1.568368
0.020000,9.026023,9.967768,14.671213,0.689730,-6.221568,0.007578,1.569098
0.020000,9.026038,9.979073,14.682519,0.565263,-6.223324,-0.087808,1.569694
0.020000,9.026046,9.987885,14.691330,0.440596,-6.233383,-0.502969,1.570159
0.020000,9.026049,9.994207,14.697653,0.316102,-6.224690,0.434647,1.570492
0.020000,9.026050,9.998038,14.701484,0.191560,-6.227081,-0.119512,1.570693
0.020000,9.026050,9.999665,14.703111,0.081364,-5.509806,35.863720,1.570779
0.020000,9.026050,10.000000,14.703446,0.016734,-3.231508,113.914914,1.570796
0.020000,9.026050,10.000000,14.703446,0.000000,-0.836706,119.740091,1.570796
