dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.880082,8.104886,15.865223,5.236303,-7.235516,1.657511,1.467228
0.020000,10.890291,8.206212,15.967062,5.091951,-7.217583,0.896675,1.473515
0.020000,10.899606,8.304734,16.066023,4.948053,-7.194932,1.132515,1.479538
0.020000,10.908086,8.400453,16.162117,4.804713,-7.167004,1.396409,1.485306
0.020000,10.915790,8.493367,16.255350,4.661653,-7.152962,0.702105,1.490827
0.020000,10.922772,8.583479,16.345732,4.519083,-7.128504,1.222887,1.496111
0.020000,10.929082,8.670791,16.433271,4.376964,-7.105991,1.125664,1.501164
0.020000,10.934771,8.755302,16.517974,4.235136,-7.091356,0.731754,1.505995
0.020000,10.939884,8.837013,16.599845,4.093548,-7.079420,0.596800,1.510609
0.020000,10.944465,8.915929,16.678894,3.952427,-7.056064,1.167782,1.515014
0.020000,10.948555,8.992050,16.755124,3.811540,-7.044348,0.585794,1.519216
0.020000,10.952193,9.065377,16.828542,3.670857,-7.034119,0.511457,1.523220
0.020000,10.955416,9.135918,16.899156,3.530719,-7.006914,1.360270,1.527033
0.020000,10.958260,9.203667,16.966965,3.390450,-7.013479,-0.328230,1.530660
0.020000,10.960757,9.268633,17.031979,3.250715,-6.986731,1.337357,1.534104
0.020000,10.962937,9.330817,17.094202,3.111116,-6.979924,0.340362,1.537372
0.020000,10.964832,9.390221,17.153636,2.971705,-6.970579,0.467244,1.540467
0.020000,10.966467,9.446848,17.210286,2.832531,-6.958712,0.593358,1.543393
0.020000,10.967868,9.500702,17.264158,2.693588,-6.947129,0.579177,1.546154
0.020000,10.969061,9.551779,17.315249,2.554563,-6.951244,-0.205750,1.548754
0.020000,10.970067,9.600089,17.363570,2.416020,-6.927137,1.205319,1.551196
0.020000,10.970907,9.645632,17.409120,2.277537,-6.924184,0.147656,1.553483
0.020000,10.971602,9.688408,17.451902,2.139056,-6.924045,0.006931,1.555618
0.020000,10.972170,9.728420,17.491918,2.000824,-6.911598,0.622358,1.557604
0.020000,10.972627,9.765669,17.529170,1.862593,-6.911548,0.002518,1.559443
0.020000,10.972989,9.800159,17.563662,1.724609,-6.899217,0.616546,1.561137
0.020000,10.973271,9.831895,17.595399,1.586825,-6.889197,0.500984,1.562689
0.020000,10.973486,9.860869,17.624374,1.448786,-6.901908,-0.635520,1.564099
0.020000,10.973645,9.887092,17.650597,1.311125,-6.883073,0.941745,1.565371
0.020000,10.973759,9.910561,17.674066,1.173476,-6.882461,0.030614,1.566506
0.020000,10.973837,9.931277,17.694783,1.035841,-6.881719,0.037093,1.567504
0.020000,10.973888,9.949243,17.712749,0.898269,-6.878626,0.154637,1.568368
0.020000,10.973920,9.964459,17.727965,0.760805,-6.873190,0.271791,1.569098
0.020000,10.973937,9.976927,17.740432,0.623391,-6.870690,0.125030,1.569694
0.020000,10.973946,9.986643,17.750149,0.485828,-6.878161,-0.373583,1.570159
0.020000,10.973949,9.993613,17.757119,0.348513,-6.865763,0.619931,1.570492
0.020000,10.973950,9.997837,17.761343,0.211185,-6.866387,-0.031215,1.570693
0.020000,10.973950,9.999631,17.763137,0.089696,-6.074455,39.596591,1.570779
0.020000,10.973950,10.000000,17.763506,0.018447,-3.562429,125.601319,1.570796
0.020000,10.973950,10.000000,17.763506,0.000000,-0.922371,132.002890,1.570796
